group	group_markers_n	tf_genes	tf_genes_n	tf_genes_frac	tf_cofactor_genes	tf_cofactor_genes_n	tf_cofactor_genes_frac	expression_go_genes	expression_go_genes_n	expression_go_genes_frac
ipc_v1_mid_all	227	ARID4B;EMX1;FOXG1;JUN;JUND;LHX2;MEF2C;NFIX;NME2;NR2F1;SATB2;TCF4;TFDP2;ZBTB18;ZBTB20;BCL11A;ZNF706;HES5;NEUROD6;NFIA;NFIC;BHLHE22	22	0.1	ARGLU1;BAZ1A;BEX1;CHCHD2;CHD3;CXXC5;DEK;EZR;IRF2BPL;KMT2A;MDFI;NDUFA13;NEDD8;PFDN5;RASD1;RSF1;SCAND1;SMARCD1;UXT;CAMK4	20	0.09	AKIRIN2;ARID4B;BEX1;CHCHD2;HES5;IER2;IRF2BPL;JUN;JUND;KMT2A;LHX2;MEF2C;NEUROD6;NFIA;NFIC;NFIX;NME2;NR2F1;PARP1;PFN1;PTOV1;RSF1;SATB2;TCF4;TFDP2;UBA52;UXT;ZBTB18;BCL11A;CHD3;CXXC5;EMX1;EZR;FOXG1;MDFI;PHF14;RPS14;ZBTB20;BHLHE22;HP1BP3;PFDN5;SCAND1;TMPO;BAZ1A;DEK;NEDD8;SMARCD1;ILF3;NDUFA13;RASD1;ZNF706;CAMK4;FYN;MIF;MYADM;NRXN1;CAMK2N1;ROCK1;RPS7;VIM;POLR2L;SNRPE;SNRPF;SNRPG;CSNK1E;FBL;COMMD6;LRP8;RPL26;HSPA5;YTHDC1	71	0.31
neuron_msp_early_all	340	AFF4;BAZ2B;BCL11B;CSDE1;FOS;FOXG1;FOXN3;HES6;HMGB1;ID4;JUN;JUNB;JUND;KLF6;MEF2C;MEIS2;NEUROD1;NFIX;NR2F1;NR4A1;POU3F2;SATB2;SETBP1;SUB1;TCF4;TSC22D1;XBP1;YBX1;ZBTB48;ZEB2;ZNF264;ZNF462;ZNF704;AFF3;CUX2;HES4;INSM1;NFIA;NFIB;POU3F1;POU3F3;SOX11;ZFP28;ZNF182;ZNF292;BCL11A;ZNF608;BHLHE22	48	0.14	ARGLU1;BTG1;C1QBP;CBX3;CNOT7;CTNNB1;DNAJB1;EZR;HSPA1A;HSPA1B;INSR;IRF2BPL;JMJD1C;MDM4;MLLT3;MTDH;NDUFA13;NEDD8;PA2G4;PHIP;PRMT2;RNF2;RTF1;SCAND1;SMARCA4;SMARCB1;SRSF2;TERF2IP;BASP1;TCEAL2	30	0.09	AKAP8L;APP;ARF4;BCL11B;CNOT7;CTNNB1;FLCN;FOS;HMGB1;ID4;IER2;IER5;IRF2BPL;JUN;JUNB;JUND;KLF6;LMO4;MEF2C;MEIS2;NEUROD1;NFIA;NFIB;NFIX;NR2F1;NR4A1;PFN1;PHIP;POU3F1;POU3F2;POU3F3;PPP3CA;SATB2;SMARCA4;SMARCB1;SOX11;TCF4;UBC;WNT7A;XBP1;YBX1;ZEB2;ZNF292;ZNF462;BCL11A;BHLHE22;BTG1;CELSR2;CUX2;ELAVL2;FOXG1;FOXN3;HES4;HES6;HP1BP3;INSR;JMJD1C;MLLT3;MN1;SCAND1;SUB1;TERF2IP;TSC22D1;ZFP28;ZNF182;ZNF264;BTG2;C1QBP;EZR;INSM1;MDM4;MTDH;RNF2;RTF1;UBE2D1;ZNF608;BAZ2B;HMGN1;IFRD1;NEDD8;PRKAR1A;ZNF704;PA2G4;PLCB1;PRMT2;ZBTB48;BASP1;BCL7A;CBX3;NDUFA13;SET;TCEAL7;YWHAQ;ANK3;CAMK2N1;HSPA1A;HSPA1B;TNRC6B;AFF3;AFF4;FKBP8;NOVA1;PCBP2;MIF;NDFIP1;SRSF6;DNAJB1;SRSF2;COMMD6;PRDX2;PPP1CB;EPHA5;LRP8;PSMA7;HSPB1;UHRF2;WTAP;YTHDC1	118	0.35
neuron_msp_late_all	485	AFF4;BAZ2B;BCLAF1;CTCF;FOS;FOXG1;GTF2I;HES6;ID2;MEF2C;MEIS2;MXI1;NFIX;NME2;PBRM1;PBX1;POU3F2;RBPJ;RERE;SETBP1;SFPQ;SMARCC1;SON;SOX4;SOX5;TCF4;UBTF;ZBTB18;ZBTB20;ZEB2;ZKSCAN1;ZNF704;CEBPZ;MYEF2;AFF3;CUX1;NEUROD2;NFIA;NFIB;POU3F3;SOX11;ZNF33A;ZNF770;ZNF91;BCL11A;ZNF608;BHLHE22	47	0.1	ACTB;ARGLU1;ATF7IP;ATRX;AURKAIP1;AUTS2;BAZ1B;BEX1;BPTF;BTG1;CBX3;CBX5;CHD3;CHD4;DACT1;DDX1;DEK;DHX36;EPC1;EZR;FUS;GSK3B;HNRNPD;HNRNPU;HSPA1A;KAT6B;KDM1A;KMT2A;KMT2E;KMT5B;MLLT3;MORF4L1;MYCBP2;NCL;NDUFA13;NRIP1;NSD1;PIN1;PNRC1;RBBP4;RBFOX2;RBM39;RBMX;RPAP2;RSF1;RTF1;SF1;SMARCA5;SMARCD3;SPEN;SUPT16H;TAF1D;TDG;TLE4;TPR;TRIM24;BDP1;MTF2;DDX17;BASP1;TCEAL4	61	0.13	APP;ATRX;AUTS2;BCLAF1;BEX1;BPTF;CEBPZ;CTCF;DHX36;EPC1;FOS;FUBP1;GTF2I;HNRNPU;KAT6B;KDM1A;KMT2A;MEF2C;MEIS2;MTF2;NCL;NEUROD2;NFIA;NFIB;NFIX;NME2;NRIP1;NUCKS1;PBX1;PIN1;POU3F2;POU3F3;PPP3CA;PRKDC;RBMX;RBPJ;RPS27A;RSF1;SFPQ;SMARCA5;SMARCC1;SOX11;SOX4;SOX5;TCF4;UBA52;UBE3A;ZBTB18;ZEB2;BCL11A;BHLHE22;BTG1;CHD3;CUX1;ERC1;FOXG1;FUS;GOLGB1;HES6;HNRNPD;HP1BP3;MLLT3;MORF4L1;NSD1;RERE;TAF1D;TLE4;ZKSCAN1;ZNF33A;ZNF91;ATF7IP;CBX5;DACT1;EZR;ID2;KHDRBS1;MXI1;PHF14;PKIA;RPL23;RPS14;RTF1;SPEN;TDG;TPR;ZBTB20;ZNF608;BAZ1B;BAZ2B;CHD4;DEK;MYEF2;UBTF;ZNF704;BASP1;BCL7A;CBX3;ILF3;NDUFA13;RBFOX2;SET;TRIM24;XRCC5;HNRNPAB;KMT2E;MAP2K2;SMARCD3;TRIM44;ANK3;CAMK2N1;GSK3B;HSPA1A;KIF1B;NRXN1;TMED2;TNRC6B;FYN;MAPT;MIF;YWHAZ;AFF3;AFF4;DNM1L;MAPK6;NOVA1;PCBP2;POLR2J3;POLR2L;SUPT16H;SF1;ACTB;SF3B1;DDX1;CSNK1E;MYCBP2;EIF2AK2;PBRM1;PTMA;KMT5B;RBBP4;GPX1;RPAP2;SNRPE;SNRPF;COMMD6;EPHA5;RPL26;YTHDC1;BDP1	149	0.31
neuron_msp_mid_all	826	ASCL1;BACH2;BCL11B;BCL6;CNBP;EBF1;EMX2;ETV1;FOS;FOSB;FOXP1;GABPB1;GZF1;HES6;HEY1;HMGA1;HMGB1;HMGXB4;ID2;ID4;JUN;KLF6;KMT2C;LHX2;MAF1;MEF2C;MEIS2;NCOA1;NCOR1;NFIX;NPAS4;NR2F1;NR4A2;PBX1;POU3F2;PRDM10;RERE;RXRG;SATB1;SATB2;SFPQ;SON;SOX4;SOX5;TBR1;TCF25;THRA;TOX3;TSC22D1;TSHZ3;YBX1;ZBTB18;ZBTB38;ZEB2;ZNF711;ZNF821;FEZF2;INSM1;KLF7;MYT1L;PEG3;ZNF112;ZNF608;ZNF706;CEBPZ;MYEF2;AFF3;ARID4A;CSRNP3;CUX1;DLX5;NEUROD2;NEUROD6;NFIA;NFIB;PAXBP1;POU3F3;SOX11;BHLHE22;GTF3A	80	0.1	ACTB;ARGLU1;ARL2BP;ATF7IP;AUTS2;BPTF;BTG1;C1QBP;CBX3;CBX5;CCDC85B;CEP290;CHD3;CHD9;CRYM;CTNND2;DACT1;EID1;EZR;FBXW11;FBXW7;FUS;GTF2H5;HNRNPD;HNRNPU;HSPA1A;HSPA8;ICE2;JMJD1C;KAT6B;KDM1A;KMT2E;LDB2;MAD2L2;MLLT3;MTDH;MYCBP2;N4BP2L2;NCL;NCOA7;NDUFA13;NRIP1;PID1;PIK3R1;PRNP;PSPC1;PTTG1;RALY;RBBP4;RBFOX2;RBM39;RBMX;RPAP2;RTF1;RUNX1T1;SCAND1;SMARCA4;SMARCAD1;SMARCD1;SMARCD3;SRSF2;SSBP2;SSBP3;SUDS3;TAF11;TAF1D;TCEA1;TCEA2;TDG;TERF2IP;TLE1;TLE4;TRIM24;TXNIP;VGLL4;YWHAB;ZCCHC12;BDP1;CAMK4;DDX17;BASP1;TCEAL4	82	0.1	AKIRIN2;APP;ARID4A;ASCL1;AUTS2;BCL11B;BPTF;CEBPZ;CNBP;CSRNP3;DLX5;EBF1;ETV1;FEZF2;FOS;FOSB;GABPB1;HEY1;HMGA1;HMGB1;HMGN3;HNRNPU;ID4;INHBA;JUN;KAT6B;KDM1A;KLF6;KLF7;KMT2C;LDB2;LHX2;LMO4;LMO7;MEF2C;MEIS2;NCL;NCOA1;NCOA7;NDN;NEUROD2;NEUROD6;NFIA;NFIB;NFIX;NPAS4;NR2F1;NR4A2;NRIP1;PAXBP1;PBX1;PEG3;PID1;PIK3R1;POU3F2;POU3F3;PPP3CB;PRDM10;PRKDC;RBMX;RXRG;SATB2;SFPQ;SMARCA4;SOX11;SOX4;SOX5;SSBP2;SSBP3;TBR1;TCEA1;TCEA2;THRA;YBX1;ZBTB18;ZBTB38;ZEB2;ZNF821;BACH2;BHLHE22;BTG1;CHD3;CUX1;DMD;ELAVL2;EMX2;ERC1;FOXP1;FUS;GTF2H5;GZF1;HES6;HNRNPD;HP1BP3;JMJD1C;MLLT3;MN1;MYT1L;PHF20L1;PSPC1;RERE;RUNX1T1;SATB1;SCAND1;TAF1D;TERF2IP;TLE1;TLE4;TSC22D1;VGLL4;ZNF112;ZNF711;ATF7IP;BCL6;C1QBP;CBX5;CRYM;DACT1;EID1;EZR;HNRNPA2B1;ID2;INSM1;MAD2L2;MAPK10;MTDH;N4BP2L2;NCOR1;PHF14;PKIA;RFC1;RPL23;RTF1;SUDS3;TCF25;TDG;TXNIP;ZC3H8;ZNF608;MYEF2;TSHZ3;BASP1;BCL7A;CBX3;CCDC85B;FBXW11;HSPA8;ILF3;NDUFA13;RBFOX2;TCEAL7;TRIM24;YWHAB;ZNF706;BRD9;HMGN1;SMARCD1;CAMK4;CEP290;FGF7;HNRNPAB;KMT2E;MDK;MLLT11;NDP;PITHD1;SMARCD3;TOX3;RNF19A;TAF11;TPT1;ACTG1;ANK2;ANK3;CNTN1;HSPA1A;KIF1B;NRXN1;NTRK2;OLFM1;RIMS2;SLC38A2;TNRC6B;VIM;AFF3;ATXN7L3B;MAPK6;MOK;NOVA1;PLCG2;POGZ;SLC8A1;ARL2BP;DIP2A;EIF4A3;FBXW7;MAPT;MIF;NDFIP1;DDX21;SRSF2;ZCCHC12;RALY;PRKCZ;MYCBP2;PRNP;SRI;GAMT;NSUN6;ICE2;RPAP2;ACTB;CSTF2T;CSTF3;SLBP;FTO;RBBP4;TMSB4X;GPX1;PSMA1;PSMD1;ZC3H13;MAF1;ADCY1;YTHDC1;BDP1	226	0.27
neuron_pfc_early_all	339	CAMTA1;CNBP;FOS;HMGB1;HMGB2;HMGB3;MEIS2;NEUROG1;NEUROG2;PAX6;SUB1;MYT1L;ZNF22;ZNF706;EOMES;NFIA	16	0.05	ACTB;ACTL6A;ANP32B;BTF3;CHCHD2;COMMD1;EID1;ENY2;GTF2A2;GTF2B;HINT1;HSBP1;MED30;NACA;NELFE;NPM1;NUDT5;PA2G4;PARK7;RAN;RBBP7;RBX1;RHOA;SAP18;SAP30;SCAND1;SIVA1;SUMO1;TXN;ALYREF	30	0.09	CNBP;EOMES;FOS;GTF2B;HINT1;HMGB1;HMGB2;HMGB3;MEIS2;MYT1L;NELFE;NEUROG1;NEUROG2;NFIA;PAX6;RPL6;SAP30;SCAND1;SUB1;SUMO1;ZNF22;CAMTA1;CHCHD2;GTF2A2;HMGN3;NPM1;PARK7;PFN1;RPS27A;UBB;ACTL6A;ENY2;HMGN1;RHOA;SAP18;EID1;HSBP1;PCNA;RBBP7;TXN;UBE2I;CSNK2B;RBX1;HNRNPAB;MDK;MED30;MLLT11;MRPL12;SFRP1;PSMA3;PSMA4;PSMA7;PSMB1;PSMB2;PSMB3;PSMB5;PSMB6;PSMD14;PSMD8;POLR2F;POLR2H;POLR2J;POLR2K;POLR2L;RPA2;RPA3;PA2G4;BTF3;NACA;ZNF706;PDCD5;RPL11;RPL5;RPS7;VIM;PTMA;MIF;RNASEH2B;ACTB;GSTO1;METTL5;TRMT112;TYMS;PRDX3;ATRAID;SNRPD3;SNRPE;SNRPF;SNRPG;SRI;COMMD1;PRDX2;GTF3C6;RPS27L;HSPB1	95	0.28
neuron_pfc_late_all	218	KLF6;MEIS2;NCOA1;SUB1;YBX1;KLF7;MYT1L;ZNF706;ZNF91;NFIA	10	0.05	ARGLU1;AURKAIP1;FBXW7;KMT2E;LDB2;MED19;PARK7;PIN1;PRMT1;RAN;RTF1;RUNX1T1;SSU72;SUMO1;TAF9;TCEA2;TOP1;YWHAB;BDP1	19	0.09	HMGN3;KLF6;KLF7;LDB2;LMO4;MED19;MEIS2;NCOA1;NFIA;PARK7;PFN1;PIN1;TAF9;TCEA2;UBB;YBX1;HP1BP3;MYT1L;RUNX1T1;SUB1;SUMO1;ZNF91;PHF14;RTF1;SNCA;DNAJB6;YWHAB;YWHAQ;ZNF706;FBXW7;MAPT;MIF;NDFIP1;NRXN1;KMT2E;MLLT11;YWHAH;PSMB5;PSMB6;PSMD7;SRPK2;COMTD1;PRMT1;SRI;COPS8;TOP1;ZC3H13;PRDX2;SSU72;BDP1	50	0.23
neuron_pfc_mid_all	412	BACH2;DEAF1;GABPB1;HES6;HMGA1;JUN;MAF1;MEF2C;MEIS2;NCOR1;NEUROG2;PBX1;POU3F2;RERE;THRA;TOX3;YBX1;ZBTB18;ZEB2;ZNF711;ZNF821;BCL11A;ZNF706;MYEF2;NFIA;POU3F3;SOX11;BHLHE22;GTF3A	29	0.07	ARL2BP;BAZ1B;BTG1;C1QBP;CBX3;CCDC85B;CDK5R1;CNOT7;FBXW7;HNRNPD;HSBP1;HSPA1A;KDM1A;LDB2;MTDH;NDUFA13;NEDD8;PRMT2;PSIP1;PSPC1;RBMX;RNF10;SCAND1;SMARCB1;SRSF2;SSU72;SUDS3;TCEA2;TERF2IP;TRIM24;TXN;DPF1;HTATSF1;BASP1	34	0.08	APP;CNOT7;DPF1;GABPB1;HMGA1;IER2;JUN;KDM1A;LAGE3;LDB2;LMO4;MEF2C;MEIS2;NDN;NFIA;PBX1;PCBP1;PFN1;POU3F2;POU3F3;PTOV1;RBMX;RNF10;SMARCB1;SOX11;TCEA2;THRA;UBB;YBX1;ZBTB18;ZEB2;ZNF821;BACH2;BCL11A;BHLHE22;BTG1;ELAVL2;HES6;HNRNPD;NEUROG2;PHF20L1;PSPC1;RERE;SCAND1;TERF2IP;ZNF711;C1QBP;DEAF1;HSBP1;KHDRBS1;MTDH;NCOR1;PKIA;SUDS3;TXN;UBE2D1;BASP1;CBX3;CCDC85B;CDK5R1;NDUFA13;PRMT2;SET;TRIM24;ZNF706;BAZ1B;HMGN1;HTATSF1;MYEF2;NEDD8;HNRNPAB;PITHD1;TOX3;YWHAH;EIF4A3;FBXW7;FYN;MIF;NDFIP1;OLFM1;SRSF6;ANK3;CNTN1;HSPA1A;KIF1B;KRAS;YWHAZ;ARL2BP;SRSF2;POLR2L;ATP1B1;NOVA1;PPP1R1B;TMSB4X;SRI;PSMD14;SLBP;SSU72;SMCHD1;MAF1	100	0.24
neuron_temporal_early_all	134	BACH2;MEF2C;NR2F1;SATB2;THRA;YBX1	6	0.04	CTNND2;DACT1;MYCBP2;RUNX1T1;SSBP2;SSBP3;TLE4;TXN;DPF1	9	0.07	BACH2;DACT1;MEF2C;NR2F1;PKIA;SATB2;SNCA;THRA;TLE4;TXN;DPF1;SSBP2;SSBP3;YBX1;RUNX1T1;ANK2;KIF1B;NTRK3;VIM;MAPT;NME1;MYCBP2;ADCY1;RPL26	24	0.18
neuron_temporal_late_all	208	CAMTA1;CCDC88A;ID4;MEF2C;NR2F1;NR2F2;SFPQ;SON;SOX4;TCF4;THRA;ZBTB38;BHLHE22	13	0.06	ARGLU1;ATRX;BEX1;BPTF;CBX5;CGGBP1;DEK;GTF2H5;HNRNPD;MORF4L1;MTPN;MYCBP2;NCL;PIK3R1;PSIP1;RBFOX2;RTF1;SMARCA2;YWHAB;BASP1;TCEAL4	21	0.1	ATRX;BEX1;BPTF;CAMTA1;ID4;LMO4;MEF2C;NCL;NDN;NR2F1;NUCKS1;PIK3R1;SFPQ;SMARCA2;SOX4;TCF4;THRA;ZBTB38;BHLHE22;ERC1;GTF2H5;HNRNPD;HP1BP3;MORF4L1;NR2F2;CBX5;CGGBP1;PKIA;RTF1;BASP1;BCL7A;RBFOX2;SET;YWHAB;ANK2;ANK3;CAMK2N1;CNTN1;KIF1B;NRXN1;OLFM1;TNRC6B;DEK;YWHAZ;MAPT;MIF;YWHAH;MYCBP2;GNAS;MTPN;DNM1L;SLC8A1;CHD5;CD200;PHF3	55	0.26
neuron_temporal_mid_all	359	ASCL1;BCL11B;CNBP;ETV1;FOS;FOXP1;HIF1A;HMGB1;ID2;LHX2;MEF2C;NR2F1;NR4A2;SATB1;SON;SOX4;SOX5;SUB1;TBR1;TCF12;TSHZ3;ZNF704;CEBPZ;FEZF2;KLF7;ZNF608;ARID4A;CSRNP3;NEUROD6;NFIB;SOX11	31	0.09	CALR;CRYM;CTNNB1;CTNND1;CTNND2;DDX39B;DNAJB1;EID1;EZH2;EZR;FBXW7;GTF2H5;HSPA8;KAT6B;MORF4L1;NCL;NCOA7;PHIP;RBM39;RUNX1T1;SCAND1;SMARCA2;SMARCB1;SSBP2;SSBP3;TDG;TLE4;CAMK4;TCEAL4;TCEAL1	30	0.08	AKIRIN2;ARID4A;ASCL1;BCL11B;CDH13;CEBPZ;CNBP;CSRNP3;CTNNB1;ETV1;FEZF2;FOS;HIF1A;HMGB1;KAT6B;KLF7;LHX2;LMO7;MEF2C;NCL;NCOA7;NEUROD6;NFIB;NR2F1;NR4A2;PHIP;RPS27A;SMARCA2;SMARCB1;SOX11;SOX4;SOX5;SSBP2;SSBP3;TBR1;TCF12;UBA52;CALR;DMD;ERC1;EZH2;FOXP1;GTF2H5;MORF4L1;RUNX1T1;SATB1;SCAND1;SUB1;TLE4;CRYM;EID1;EZR;ID2;RPL10;RPL23;SNCA;TDG;ZNF608;TSHZ3;CAMK4;ZNF704;BCL7A;DNAJB6;HSPA8;TCEAL7;ACTG1;NRXN1;NTRK2;RIMS2;ROBO1;RPL11;RPS7;VIM;FBXW7;MIF;DNAJB1;PSMA1;PSMD1;COMMD6;TMSB4X;CHD5;DDX39B;IVNS1ABP	83	0.23
