gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	stage_region	stage	region
CTTNBP2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.61418	0.06673	0.224	1.58333	0.608	0.384	0.3879	mid_msp	mid	msp
RPRM	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.61363	1	0.076	1.76766	0.175	0.099	0.34714	mid_msp	mid	msp
BID	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.61114	1	0.115	1.66859	0.287	0.172	0.36626	mid_msp	mid	msp
FEZ2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.60401	1	0.133	1.94999	0.273	0.14	0.30975	mid_msp	mid	msp
RAI14	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.60263	1	0.119	1.77272	0.273	0.154	0.33995	mid_msp	mid	msp
ATP6V0E2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.59968	1	0.108	1.34615	0.42	0.312	0.44548	mid_msp	mid	msp
HERPUD1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.59469	1	0.056	1.61537	0.147	0.091	0.36815	mid_msp	mid	msp
UBE2D3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.59416	1	0.044	1.12394	0.399	0.355	0.52864	mid_msp	mid	msp
POP7	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.58622	1	0.104	1.52791	0.301	0.197	0.38367	mid_msp	mid	msp
MRPL14	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.58459	1	0.131	1.59817	0.35	0.219	0.36579	mid_msp	mid	msp
SPTAN1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.58453	0.48021	0.169	1.39764	0.594	0.425	0.41822	mid_msp	mid	msp
DPYSL5	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.58333	1	0.115	1.43726	0.378	0.263	0.40587	mid_msp	mid	msp
R3HDM1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.58139	1	0.103	1.85122	0.224	0.121	0.31406	mid_msp	mid	msp
NAV3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.58094	1	0.063	2.28567	0.112	0.049	0.25417	mid_msp	mid	msp
CDKN2D	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.58093	1	0.104	2.05048	0.203	0.099	0.28331	mid_msp	mid	msp
ELOVL6	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.57805	1	0.091	2.29997	0.161	0.07	0.25133	mid_msp	mid	msp
FAM213A	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.57518	0.19064	0.152	1.40105	0.531	0.379	0.41054	mid_msp	mid	msp
FKBP2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.57088	1	0.093	1.47937	0.287	0.194	0.38589	mid_msp	mid	msp
NME1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.566	0.11402	0.141	1.32639	0.573	0.432	0.42673	mid_msp	mid	msp
NDUFAF2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.56526	1	0.142	1.68268	0.35	0.208	0.33593	mid_msp	mid	msp
C11orf31	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.55735	0.15288	0.102	1.23776	0.531	0.429	0.45029	mid_msp	mid	msp
MEF2C	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.55704	1	0.115	1.34534	0.448	0.333	0.41405	mid_msp	mid	msp
COPE	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.5534	0.53741	0.122	1.25469	0.601	0.479	0.44107	mid_msp	mid	msp
EXTL3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.55284	1	0.055	2.09996	0.105	0.05	0.26326	mid_msp	mid	msp
AURKAIP1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.55225	1	0.107	1.36643	0.399	0.292	0.40416	mid_msp	mid	msp
HSPA5	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.55167	1	0.093	1.43255	0.308	0.215	0.38509	mid_msp	mid	msp
ZC2HC1A	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.54875	1	0.106	1.23043	0.566	0.46	0.44598	mid_msp	mid	msp
RTN1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.54801	1e-5	0.173	1.22236	0.951	0.778	0.44832	mid_msp	mid	msp
TBCB	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.54697	0.1026	0.179	1.38004	0.65	0.471	0.39634	mid_msp	mid	msp
FDFT1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.545	1	0.131	1.37971	0.476	0.345	0.39500999999999997	mid_msp	mid	msp
ZBTB38	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.5447	1	0.127	1.96211	0.259	0.132	0.27761	mid_msp	mid	msp
C6orf1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.5403	1	0.069	1.88459	0.147	0.078	0.28669	mid_msp	mid	msp
MYT1L	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.53991	0.23425	0.154	1.31048	0.65	0.496	0.41199	mid_msp	mid	msp
NHSL1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.53966	1	0.15	1.90908	0.315	0.165	0.28268	mid_msp	mid	msp
GPM6A	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.53795	0	0.057	1.0609	0.993	0.936	0.50708	mid_msp	mid	msp
CSRNP3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.53604	1	0.06	1.24896	0.301	0.241	0.42919	mid_msp	mid	msp
PTPRD	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.53581	0.99308	0.153	1.42033	0.517	0.364	0.37724	mid_msp	mid	msp
SSBP2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.53362	1	0.1	1.43667	0.329	0.229	0.37143	mid_msp	mid	msp
PSMB6	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.53298	1	0.071	1.14761	0.552	0.481	0.46443	mid_msp	mid	msp
PDRG1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.53271	1	0.076	1.97433	0.154	0.078	0.26982	mid_msp	mid	msp
ATAT1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.5287	1	0.129	1.42295	0.434	0.305	0.37155	mid_msp	mid	msp
ANKRD50	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.52695	1	0.09	1.70865	0.217	0.127	0.3084	mid_msp	mid	msp
ITGB1BP1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.52633	1	0.083	1.69165	0.203	0.12	0.31113	mid_msp	mid	msp
CCSER1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.52353	1	0.116	1.62702	0.301	0.185	0.32177	mid_msp	mid	msp
RUNX1T1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.52324	1	0.059	1.27569	0.273	0.214	0.41016	mid_msp	mid	msp
ARPC5	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.51867	0.16091	0.186	1.37274	0.685	0.499	0.37783	mid_msp	mid	msp
GJC1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.51575	1	0.055	1.59781	0.147	0.092	0.32279	mid_msp	mid	msp
BEX4	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.51321	0.29509	0.11	1.21194	0.629	0.519	0.42346	mid_msp	mid	msp
DRAP1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.51288	1	0.154	1.44126	0.503	0.349	0.35586	mid_msp	mid	msp
VPS16	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.51198	1	0.047	1.81031	0.105	0.058	0.28281	mid_msp	mid	msp
MPC1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.50552	1	0.093	1.51666	0.273	0.18	0.33331	mid_msp	mid	msp
IRS2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.50503	1	0.082	1.67767	0.203	0.121	0.30103	mid_msp	mid	msp
LINC00632	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.50267	1	0.085	1.64393	0.217	0.132	0.30577	mid_msp	mid	msp
EIF5	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.50185	1	0.13	1.30805	0.552	0.422	0.38366	mid_msp	mid	msp
PDLIM2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.50075	1	0.054	1.62789	0.14	0.086	0.30761	mid_msp	mid	msp
DGUOK	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.49576	1	0.121	1.31675	0.503	0.382	0.37651	mid_msp	mid	msp
DUSP26	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.49416	1	0.084	1.74998	0.196	0.112	0.28238	mid_msp	mid	msp
TMEM9B	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.49336	1	0.091	1.81248	0.203	0.112	0.2722	mid_msp	mid	msp
AFF3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.48829	1	0.062	1.32631	0.252	0.19	0.36816	mid_msp	mid	msp
CCDC115	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.48742	1	0.057	1.48304	0.175	0.118	0.32866	mid_msp	mid	msp
SNRNP25	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.48605	1	0.082	1.48234	0.252	0.17	0.32789	mid_msp	mid	msp
RAPGEF2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.48165	1	0.043	1.56577	0.119	0.076	0.30761	mid_msp	mid	msp
CANX	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.4784	1	0.086	1.44329	0.28	0.194	0.33147	mid_msp	mid	msp
IFT52	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.47408	1	0.071	1.68268	0.175	0.104	0.28174	mid_msp	mid	msp
WIPF3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.47071	1	0.054	1.83074	0.119	0.065	0.25711	mid_msp	mid	msp
SNX4	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.46918	1	0.097	1.72387	0.231	0.134	0.27217	mid_msp	mid	msp
KIF1A	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.46833	1	0.135	1.39589	0.476	0.341	0.33551	mid_msp	mid	msp
BAD	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.4647	1	0.086	1.54087	0.245	0.159	0.30158	mid_msp	mid	msp
NDUFS7	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.4644	1	0.12	1.46511	0.378	0.258	0.31697	mid_msp	mid	msp
BEX2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.46325	1	0.12	1.2649	0.573	0.453	0.36623	mid_msp	mid	msp
TCEAL3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.45964	1	0.078	1.43093	0.259	0.181	0.32121	mid_msp	mid	msp
SLC25A3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.45721	1	0.126	1.27753	0.58	0.454	0.35789	mid_msp	mid	msp
AC004158.3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.45512	1	0.158	1.60305	0.42	0.262	0.28391	mid_msp	mid	msp
GAP43	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.4529	0.10263	0.081	1.12816	0.713	0.632	0.40145	mid_msp	mid	msp
CUX1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.45243	1	0.124	1.50202	0.371	0.247	0.30121	mid_msp	mid	msp
EIF4EBP1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.44941	1	0.069	1.31651	0.287	0.218	0.34137	mid_msp	mid	msp
STMN4	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.44666	1	0.058	1.10034	0.636	0.578	0.40593	mid_msp	mid	msp
ZNF608	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.44605	1	0.12	1.32432	0.49	0.37	0.33682	mid_msp	mid	msp
SCD5	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.43859	1	0.09	1.70865	0.217	0.127	0.25669	mid_msp	mid	msp
GSTO1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.43796	1	0.106	1.72602	0.252	0.146	0.25374	mid_msp	mid	msp
VDAC3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.43485	1	0.128	1.28764	0.573	0.445	0.33771	mid_msp	mid	msp
ARPC2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.43432	1	0.168	1.33871	0.664	0.496	0.32443	mid_msp	mid	msp
CSNK1A1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.43171	1	0.13	1.3421	0.51	0.38	0.32167	mid_msp	mid	msp
NDUFB8	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.43125	1	0.146	1.28968	0.65	0.504	0.33438	mid_msp	mid	msp
CRIP2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.42443	1	0.072	1.32432	0.294	0.222	0.32049	mid_msp	mid	msp
SMS	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.42365	1	0.137	1.34164	0.538	0.401	0.31577	mid_msp	mid	msp
DPYSL3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.42343	0.41713	0.07	1.13539	0.587	0.517	0.37293	mid_msp	mid	msp
BNIP3L	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.42169	1	0.077	1.20754	0.448	0.371	0.34922	mid_msp	mid	msp
SPCS1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.41892	1	0.067	1.1898	0.42	0.353	0.35209	mid_msp	mid	msp
EIF1AX	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.41832	1	0.102	1.23776	0.531	0.429	0.33797	mid_msp	mid	msp
PAFAH1B3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.41802	0.01182	0.064	1.07901	0.874	0.81	0.38741	mid_msp	mid	msp
RHEB	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.41616	1	0.06	1.20689	0.35	0.29	0.34482	mid_msp	mid	msp
MRPS23	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.41504	1	0.071	1.46404	0.224	0.153	0.28349	mid_msp	mid	msp
RAB10	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.41387	1	0.065	1.3611	0.245	0.18	0.30407	mid_msp	mid	msp
GNB1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.41059	1	0.095	1.37254	0.35	0.255	0.29915	mid_msp	mid	msp
TIMM22	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.41058	1	0.029	1.32221	0.119	0.09	0.31053	mid_msp	mid	msp
ATP5G3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.40899	1	0.088	1.17391	0.594	0.506	0.3484	mid_msp	mid	msp
WDR83OS	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.40794	1	0.017	1.04076	0.434	0.417	0.39196	mid_msp	mid	msp
HMGCS1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.4066	1	0.092	1.42592	0.308	0.216	0.28515	mid_msp	mid	msp
BCL11A	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.40485	1	0.134	1.38395	0.483	0.349	0.29253	mid_msp	mid	msp
RNH1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.40441	1	0.093	1.56023	0.259	0.166	0.2592	mid_msp	mid	msp
ZNF428	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.4025	0.13237	0.161	1.23266	0.853	0.692	0.32653	mid_msp	mid	msp
SDHC	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.40247	1	0.071	1.30869	0.301	0.23	0.30754	mid_msp	mid	msp
MN1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.40122	1	0.168	1.4375	0.552	0.384	0.27911	mid_msp	mid	msp
MAP1B	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.40113	0	0.007	1.00725	0.972	0.965	0.39824	mid_msp	mid	msp
CELF3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.40104	1	0.03	1.21738	0.168	0.138	0.32943	mid_msp	mid	msp
FAM96B	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.39522	1	0.096	1.18497	0.615	0.519	0.33353	mid_msp	mid	msp
UBE2K	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.39244	1	0.032	1.18713	0.203	0.171	0.33058	mid_msp	mid	msp
YWHAE	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.39181	0.14933	0.099	1.12437	0.895	0.796	0.34847	mid_msp	mid	msp
TPI1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.39135	1	0.106	1.26237	0.51	0.404	0.31001	mid_msp	mid	msp
H2AFZ	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.38458	0.97641	0.001	1.00127	0.79	0.789	0.38409	mid_msp	mid	msp
KIAA1549	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.38148	1	0.09	1.45685	0.287	0.197	0.26185	mid_msp	mid	msp
ARMCX1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.38135	1	0.055	1.35483	0.21	0.155	0.28148	mid_msp	mid	msp
HSP90AA1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.38121	0.16569	0.033	1.03437	0.993	0.96	0.36854	mid_msp	mid	msp
ZNF532	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.38015	1	0.02	1.14925	0.154	0.134	0.33078	mid_msp	mid	msp
VAMP2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.37474	1	0.114	1.19965	0.685	0.571	0.31237	mid_msp	mid	msp
PPIA	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.37017	0.19137	0.078	1.09713	0.881	0.803	0.3374	mid_msp	mid	msp
UQCRC1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.37001	1	0.067	1.33668	0.266	0.199	0.27681	mid_msp	mid	msp
PDCD6	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.36983	1	0.073	1.27756	0.336	0.263	0.28948	mid_msp	mid	msp
SUGT1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.36932	1	0.001	1.00462	0.217	0.216	0.36762	mid_msp	mid	msp
NMNAT2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.36535	1	0.039	1.38612	0.14	0.101	0.26358	mid_msp	mid	msp
CDC42	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.36534	1	0.05	1.0896	0.608	0.558	0.3353	mid_msp	mid	msp
MT-ND5	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.36482	0.20342	0.022	1.0248	0.909	0.887	0.356	mid_msp	mid	msp
HMP19	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.36358	1	0.076	1.1645	0.538	0.462	0.31222	mid_msp	mid	msp
MORF4L2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.36207	1	0.135	1.30822	0.573	0.438	0.27676	mid_msp	mid	msp
NGFRAP1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.36136	0.02189	0.039	1.04447	0.916	0.877	0.34598	mid_msp	mid	msp
MRPS6	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.35735	1	0.099	1.36397	0.371	0.272	0.26199	mid_msp	mid	msp
UFD1L	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.35189	1	0.037	1.35921	0.14	0.103	0.25889	mid_msp	mid	msp
CLMP	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.35151	1	0.11	1.28947	0.49	0.38	0.2726	mid_msp	mid	msp
COPS8	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.34862	1	0.044	1.24444	0.224	0.18	0.28015	mid_msp	mid	msp
C9orf78	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.34581	1	0.091	1.33333	0.364	0.273	0.25936	mid_msp	mid	msp
ZNF462	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.34543	1	0.091	1.23214	0.483	0.392	0.28035	mid_msp	mid	msp
SF3B6	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.34402	1	0.047	1.08274	0.615	0.568	0.31773	mid_msp	mid	msp
MEAF6	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.34095	1	0.056	1.14815	0.434	0.378	0.29696	mid_msp	mid	msp
SEPT7	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.33911	1	0.075	1.10807	0.769	0.694	0.30604	mid_msp	mid	msp
DSTN	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.33614	1	0.123	1.21098	0.706	0.583	0.27758	mid_msp	mid	msp
G3BP2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.3275	1	0.059	1.21299	0.336	0.277	0.26999	mid_msp	mid	msp
FUNDC2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.32397	1	0.087	1.26126	0.42	0.333	0.25686	mid_msp	mid	msp
DCTN3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.32354	1	0.061	1.11296	0.601	0.54	0.29071	mid_msp	mid	msp
CEP170	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.32082	1	0.092	1.14024	0.748	0.656	0.28136	mid_msp	mid	msp
RBM3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.31908	1	0.037	1.06727	0.587	0.55	0.29897	mid_msp	mid	msp
NHP2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.31666	1	0.051	1.10782	0.524	0.473	0.28584	mid_msp	mid	msp
CCT6A	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.31606	1	0.071	1.18158	0.462	0.391	0.26749	mid_msp	mid	msp
NUDT3	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.31147	1	0.09	1.22113	0.497	0.407	0.25506	mid_msp	mid	msp
NDUFB9	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.31028	1	-0.006	0.98678	0.448	0.454	0.31443	mid_msp	mid	msp
CD24	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.30873	1	0.008	1.00874	0.923	0.915	0.30605	mid_msp	mid	msp
PRDX5	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.30168	1	0.021	1.03903	0.559	0.538	0.29035	mid_msp	mid	msp
TUBB2B	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.29645	0.00495	0.056	1.05932	1	0.944	0.27985	mid_msp	mid	msp
CHCHD2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.29395	1	0.095	1.11875	0.895	0.8	0.26275	mid_msp	mid	msp
RPS4X	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.29129	0.42967	0	1	1	1	0.29129	mid_msp	mid	msp
GAPDH	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.29046	1	0.004	1.0041	0.979	0.975	0.28927	mid_msp	mid	msp
MTCH2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.28157	1	0.015	1.09374	0.175	0.16	0.25743	mid_msp	mid	msp
TUBA1A	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.28127	0.01757	0	1	1	1	0.28127	mid_msp	mid	msp
STMN1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.27932	0.0131	0	1	1	1	0.27932	mid_msp	mid	msp
FABP7	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.27612	0.12647	0.046	1.0493	0.979	0.933	0.26315	mid_msp	mid	msp
PPP1R10	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.27544	1	0.01	1.05376	0.196	0.186	0.26139	mid_msp	mid	msp
DPYSL2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.2747	1	0.048	1.07704	0.671	0.623	0.25505	mid_msp	mid	msp
AASDHPPT	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.2737	1	0.009	1.04639	0.203	0.194	0.26157	mid_msp	mid	msp
RPL8	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.269	0.01981	0.015	1.01534	0.993	0.978	0.26494	mid_msp	mid	msp
HDAC2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.26771	1	-0.011	0.98139	0.58	0.591	0.27278	mid_msp	mid	msp
MLLT11	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.26746	0.54578	0.023	1.02371	0.993	0.97	0.26127	mid_msp	mid	msp
SKP1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.26396	1	-0.005	0.99412	0.846	0.851	0.26552	mid_msp	mid	msp
CFL1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.26158	1	0.029	1.03145	0.951	0.922	0.2536	mid_msp	mid	msp
MT-ND4	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.26098	1	0.002	1.002	1	0.998	0.26046	mid_msp	mid	msp
RPL10A	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.25679	0.17096	0.007	1.00705	1	0.993	0.255	mid_msp	mid	msp
MT-ND2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.25275	1	0.002	1.00202	0.993	0.991	0.25225	mid_msp	mid	msp
TTC1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18	0.24522	1	-0.02	0.90099	0.182	0.202	0.27216	mid_msp	mid	msp
NPTX2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18_2	0.84496	0	0.088	3.3157	0.126	0.038	0.25484	mid_msp	mid	msp
FOSB	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18_2	0.77761	0	0.117	1.90696	0.246	0.129	0.40778	mid_msp	mid	msp
HSPA1A	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18_2	0.77627	0	0.098	1.30434	0.42	0.322	0.59514	mid_msp	mid	msp
DUSP1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18_2	0.75658	0	0.159	1.36468	0.595	0.436	0.55441	mid_msp	mid	msp
FOS	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18_2	0.61529	0	0.137	1.2272	0.74	0.603	0.50138	mid_msp	mid	msp
EPHB6	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18_2	0.54254	0	0.124	1.24077	0.639	0.515	0.43726	mid_msp	mid	msp
RP11-436D23.1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18_2	0.51966	0	0.123	1.53947	0.351	0.228	0.33756	mid_msp	mid	msp
HSPA1B	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18_2	0.51816	0	0.077	1.35981	0.291	0.214	0.38105	mid_msp	mid	msp
ZEB2	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18_2	0.43102	0	0.105	1.36842	0.39	0.285	0.31498	mid_msp	mid	msp
MLF1	mid_motor	motor	ipc_mid	ipc_msp	ipc	gw18_2	0.41179	1e-5	0.082	1.60293	0.218	0.136	0.2569	mid_msp	mid	msp
