gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	stage_region	stage	region
ARL4D	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.38359	2e-5	0.123	1.24453	0.626	0.503	0.30822	early_pfc	early	pfc
RPL5	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.38068	0	0.001	1.001	1	0.999	0.38029	early_pfc	early	pfc
NDUFA12	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.37692	0	0.111	1.18942	0.697	0.586	0.3169	early_pfc	early	pfc
H3F3B	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.37225	0	0.002	1.002	1	0.998	0.37151	early_pfc	early	pfc
DUT	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.36539	1	0.102	1.21935	0.567	0.465	0.29966	early_pfc	early	pfc
UBE2T	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.36535	1	0.069	1.32394	0.282	0.213	0.27595	early_pfc	early	pfc
GTF2B	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.36267	0.00101	0.131	1.41719	0.445	0.314	0.25591	early_pfc	early	pfc
UBE2V2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.36239	0	0.108	1.20262	0.641	0.533	0.30134	early_pfc	early	pfc
COX7A2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.36174	0	0.039	1.04397	0.926	0.887	0.3465	early_pfc	early	pfc
TIMM17B	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.36145	1e-5	0.102	1.34576	0.397	0.295	0.26858	early_pfc	early	pfc
ECH1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.36066	0	0.126	1.30508	0.539	0.413	0.27635	early_pfc	early	pfc
SF3B6	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.36021	0	0.091	1.11757	0.865	0.774	0.32231	early_pfc	early	pfc
ATP5O	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.35871	0	0.04	1.04635	0.903	0.863	0.34282	early_pfc	early	pfc
