item1	item2	n
neuron_pfc_mid	rg_msp_early	72
neuron_pfc_mid	rg_msp_late	86
neuron_pfc_mid	rg_msp_mid	243
neuron_pfc_mid	rg_pfc_early	20
neuron_pfc_mid	rg_pfc_late	23
neuron_pfc_mid	rg_pfc_mid	209
neuron_pfc_mid	rg_temporal_early	25
neuron_pfc_mid	rg_temporal_late	13
neuron_pfc_mid	rg_temporal_mid	70
neuron_pfc_mid	rg_v1_early	119
neuron_pfc_mid	rg_v1_late	23
neuron_pfc_mid	rg_v1_mid	125
neuron_temporal_early	neuron_msp_early	37
neuron_temporal_early	neuron_msp_late	48
neuron_temporal_early	neuron_msp_mid	100
neuron_temporal_early	neuron_pfc_early	8
neuron_temporal_early	neuron_pfc_late	40
neuron_temporal_early	neuron_pfc_mid	53
neuron_temporal_early	neuron_temporal_early	146
neuron_temporal_early	neuron_temporal_late	48
neuron_temporal_early	neuron_temporal_mid	61
neuron_temporal_early	neuron_v1_early	29
neuron_temporal_early	neuron_v1_late	16
neuron_temporal_early	neuron_v1_mid	47
neuron_temporal_early	rg_msp_early	13
neuron_temporal_early	rg_msp_late	29
neuron_temporal_early	rg_msp_mid	43
neuron_temporal_early	rg_pfc_early	4
neuron_temporal_early	rg_pfc_late	9
neuron_temporal_early	rg_pfc_mid	32
neuron_temporal_early	rg_temporal_early	4
neuron_temporal_early	rg_temporal_late	6
neuron_temporal_early	rg_temporal_mid	27
neuron_temporal_early	rg_v1_early	74
neuron_temporal_early	rg_v1_late	12
neuron_temporal_early	rg_v1_mid	23
neuron_temporal_late	neuron_msp_early	72
neuron_temporal_late	neuron_msp_late	179
neuron_temporal_late	neuron_msp_mid	190
neuron_temporal_late	neuron_pfc_early	25
neuron_temporal_late	neuron_pfc_late	35
neuron_temporal_late	neuron_pfc_mid	105
neuron_temporal_late	neuron_temporal_early	48
neuron_temporal_late	neuron_temporal_late	292
neuron_temporal_late	neuron_temporal_mid	79
neuron_temporal_late	neuron_v1_early	24
neuron_temporal_late	neuron_v1_late	21
neuron_temporal_late	neuron_v1_mid	71
neuron_temporal_late	rg_msp_early	40
neuron_temporal_late	rg_msp_late	53
neuron_temporal_late	rg_msp_mid	111
neuron_temporal_late	rg_pfc_early	14
neuron_temporal_late	rg_pfc_late	26
neuron_temporal_late	rg_pfc_mid	59
neuron_temporal_late	rg_temporal_early	19
neuron_temporal_late	rg_temporal_late	20
neuron_temporal_late	rg_temporal_mid	43
neuron_temporal_late	rg_v1_early	97
neuron_temporal_late	rg_v1_late	19
neuron_temporal_late	rg_v1_mid	51
neuron_temporal_mid	neuron_msp_early	87
neuron_temporal_mid	neuron_msp_late	136
neuron_temporal_mid	neuron_msp_mid	275
neuron_temporal_mid	neuron_pfc_early	62
neuron_temporal_mid	neuron_pfc_late	33
neuron_temporal_mid	neuron_pfc_mid	79
neuron_temporal_mid	neuron_temporal_early	61
neuron_temporal_mid	neuron_temporal_late	79
neuron_temporal_mid	neuron_temporal_mid	392
neuron_temporal_mid	neuron_v1_early	84
neuron_temporal_mid	neuron_v1_late	54
neuron_temporal_mid	neuron_v1_mid	133
neuron_temporal_mid	rg_msp_early	47
neuron_temporal_mid	rg_msp_late	75
neuron_temporal_mid	rg_msp_mid	173
neuron_temporal_mid	rg_pfc_early	31
neuron_temporal_mid	rg_pfc_late	19
neuron_temporal_mid	rg_pfc_mid	79
neuron_temporal_mid	rg_temporal_early	17
neuron_temporal_mid	rg_temporal_late	14
neuron_temporal_mid	rg_temporal_mid	106
neuron_temporal_mid	rg_v1_early	121
neuron_temporal_mid	rg_v1_late	35
neuron_temporal_mid	rg_v1_mid	84
neuron_v1_early	neuron_msp_early	73
neuron_v1_early	neuron_msp_late	86
neuron_v1_early	neuron_msp_mid	110
neuron_v1_early	neuron_pfc_early	28
neuron_v1_early	neuron_pfc_late	22
neuron_v1_early	neuron_pfc_mid	51
neuron_v1_early	neuron_temporal_early	29
neuron_v1_early	neuron_temporal_late	24
neuron_v1_early	neuron_temporal_mid	84
neuron_v1_early	neuron_v1_early	202
neuron_v1_early	neuron_v1_late	46
neuron_v1_early	neuron_v1_mid	103
neuron_v1_early	rg_msp_early	47
neuron_v1_early	rg_msp_late	73
neuron_v1_early	rg_msp_mid	116
neuron_v1_early	rg_pfc_early	13
neuron_v1_early	rg_pfc_late	7
neuron_v1_early	rg_pfc_mid	46
neuron_v1_early	rg_temporal_early	5
neuron_v1_early	rg_temporal_late	7
neuron_v1_early	rg_temporal_mid	50
neuron_v1_early	rg_v1_early	109
neuron_v1_early	rg_v1_late	29
neuron_v1_early	rg_v1_mid	63
neuron_v1_late	neuron_msp_early	18
neuron_v1_late	neuron_msp_late	66
neuron_v1_late	neuron_msp_mid	59
neuron_v1_late	neuron_pfc_early	12
neuron_v1_late	neuron_pfc_late	1
neuron_v1_late	neuron_pfc_mid	29
neuron_v1_late	neuron_temporal_early	16
neuron_v1_late	neuron_temporal_late	21
neuron_v1_late	neuron_temporal_mid	54
neuron_v1_late	neuron_v1_early	46
neuron_v1_late	neuron_v1_late	77
neuron_v1_late	neuron_v1_mid	66
neuron_v1_late	rg_msp_early	16
neuron_v1_late	rg_msp_late	36
neuron_v1_late	rg_msp_mid	60
neuron_v1_late	rg_pfc_early	11
neuron_v1_late	rg_pfc_late	4
neuron_v1_late	rg_pfc_mid	26
neuron_v1_late	rg_temporal_early	6
neuron_v1_late	rg_temporal_late	7
neuron_v1_late	rg_temporal_mid	43
neuron_v1_late	rg_v1_early	43
neuron_v1_late	rg_v1_late	36
neuron_v1_late	rg_v1_mid	37
neuron_v1_mid	neuron_msp_early	130
neuron_v1_mid	neuron_msp_late	183
neuron_v1_mid	neuron_msp_mid	267
neuron_v1_mid	neuron_pfc_early	76
neuron_v1_mid	neuron_pfc_late	35
neuron_v1_mid	neuron_pfc_mid	120
neuron_v1_mid	neuron_temporal_early	47
neuron_v1_mid	neuron_temporal_late	71
neuron_v1_mid	neuron_temporal_mid	133
neuron_v1_mid	neuron_v1_early	103
neuron_v1_mid	neuron_v1_late	66
neuron_v1_mid	neuron_v1_mid	591
neuron_v1_mid	rg_msp_early	79
neuron_v1_mid	rg_msp_late	102
neuron_v1_mid	rg_msp_mid	220
neuron_v1_mid	rg_pfc_early	32
neuron_v1_mid	rg_pfc_late	19
neuron_v1_mid	rg_pfc_mid	137
neuron_v1_mid	rg_temporal_early	16
neuron_v1_mid	rg_temporal_late	10
neuron_v1_mid	rg_temporal_mid	91
neuron_v1_mid	rg_v1_early	160
neuron_v1_mid	rg_v1_late	38
neuron_v1_mid	rg_v1_mid	192
rg_msp_early	neuron_msp_early	113
rg_msp_early	neuron_msp_late	71
rg_msp_early	neuron_msp_mid	116
rg_msp_early	neuron_pfc_early	31
rg_msp_early	neuron_pfc_late	27
