cl.from	cl.to	Freq	cl.from.total	cl.to.total	odds	pval.log	frac	cl.from.label	cl.to.label
34	25	129	89514	17601	0.31954344266378937	-4.823389726336446e-59	0.0014411153562571219	rg-somatosensory	opc-motor
35	25	31	77453	17601	0.08874719057176657	-4.374362083153815e-110	4.0024272784785613e-4	rg-temporal	opc-motor
36	25	59	78442	17601	0.16677637018431832	-3.538995144331622e-86	7.521480839346268e-4	rg-V1	opc-motor
7	26	98	93134	36927	0.11120960553330218	-7.483719877597142e-255	0.0010522472995898383	dividing-motor	opc-parietal
8	26	510	88203	36927	0.6110986153794422	-4.553078496180303e-35	0.005782116254549165	dividing-parietal	opc-parietal
9	26	90	47201	36927	0.20151890291075442	-2.530201186555832e-96	0.001906739263998644	dividing-PFC	opc-parietal
10	26	266	89922	36927	0.3126368450006398	-2.9223438422616334e-125	0.0029581192589132805	dividing-somatosensory	opc-parietal
11	26	38	67397	36927	0.05958919404243838	-2.3447648374765556e-220	5.638233155778448e-4	dividing-temporal	opc-parietal
12	26	94	91245	36927	0.10887878315540075	-1.2606746404997837e-251	0.0010301934352567265	dividing-V1	opc-parietal
13	26	9	77471	36927	0.012278005623124161	-2.131559013250626e-305	1.1617250325928412e-4	ipc-motor	opc-parietal
14	26	40	163797	36927	0.02580943684707431	-0	2.442047168141053e-4	ipc-parietal	opc-parietal
15	26	6	91057	36927	0.006964058217226952	-0	6.589279242672172e-5	ipc-PFC	opc-parietal
16	26	4	114781	36927	0.003683108116535168	-0	3.4848973262125266e-5	ipc-somatosensory	opc-parietal
17	26	2	74554	36927	0.0028351988674251084	-1.125913938202626e-308	2.6826193094937897e-5	ipc-temporal	opc-parietal
18	26	3	144423	36927	0.0021953783299267934	-0	2.0772314659022454e-5	ipc-V1	opc-parietal
19	26	8	331906	36927	0.00254741301889103	-0	2.4103209944984425e-5	neuron-motor	opc-parietal
20	26	83	392500	36927	0.022349247844645804	-0	2.1146496815286625e-4	neuron-parietal	opc-parietal
21	26	8	670728	36927	0.001260573086926513	-0	1.1927338652926373e-5	neuron-PFC	opc-parietal
23	26	9	185908	36927	0.005116452081831077	-0	4.841104202078448e-5	neuron-temporal	opc-parietal
24	26	18	331799	36927	0.005733527669637653	-0	5.424971142167397e-5	neuron-V1	opc-parietal
25	26	2619	19578	36927	14.138119712230775	-4751.087933256931	0.13377260190009194	opc-motor	opc-parietal
26	26	21083	35060	36927	63.554305521396024	-82362.28213263981	0.6013405590416429	opc-parietal	opc-parietal
27	26	2106	21248	36927	10.475259479913317	-3186.338766422379	0.09911521084337349	opc-PFC	opc-parietal
28	26	5149	21256	36927	25.60152471885579	-12739.19954777711	0.24223748588633798	opc-somatosensory	opc-parietal
29	26	876	6676	36927	13.867949725368643	-1556.0923100200926	0.13121629718394248	opc-temporal	opc-parietal
30	26	1768	9858	36927	18.954744173667905	-3722.9558050981414	0.17934672347332117	opc-V1	opc-parietal
31	26	327	71249	36927	0.48505776326950395	-1.5526375982514606e-51	0.0045895380987803335	rg-motor	opc-parietal
32	26	1014	168350	36927	0.6365746129821197	-2.008800960912426e-57	0.006023166023166023	rg-parietal	opc-parietal
33	26	119	79867	36927	0.15747226355741029	-1.9566428469522888e-187	0.0014899770869069829	rg-PFC	opc-parietal
34	26	300	89514	36927	0.3542050679703927	-1.687912144690884e-107	0.003351431061063074	rg-somatosensory	opc-parietal
35	26	91	77453	36927	0.12417313008497445	-6.438295895326201e-203	0.0011749060720695132	rg-temporal	opc-parietal
36	26	189	78442	36927	0.2546464501951772	-2.038508230990989e-133	0.0024094235231126183	rg-V1	opc-parietal
1	27	3	495	19367	1.2212995864568128	-0.8091059774191603	0.006060606060606061	cr-motor	opc-PFC
2	27	1	166	19367	1.213942360032374	-0.5760242100604658	0.006024096385542169	cr-parietal	opc-PFC
3	27	2	1410	19367	0.28583607342606254	-0.007238448391728373	0.0014184397163120568	cr-PFC	opc-PFC
7	27	77	93134	19367	0.1666052273706037	-3.5433723253829823e-112	8.267657353920158e-4	dividing-motor	opc-PFC
8	27	60	88203	19367	0.1370799848749186	-4.5870324765518774e-117	6.802489711234312e-4	dividing-parietal	opc-PFC
9	27	364	47201	19367	1.5540190496514092	-34.174607838676934	0.007711701023283405	dividing-PFC	opc-PFC
10	27	57	89922	19367	0.12773651176159698	-4.694709129122556e-123	6.3388269833856e-4	dividing-somatosensory	opc-PFC
11	27	39	67397	19367	0.11660849650354747	-5.251863080602353e-96	5.786607712509459e-4	dividing-temporal	opc-PFC
12	27	49	91245	19367	0.1082164190531353	-3.3246174910914685e-133	5.370157268891446e-4	dividing-V1	opc-PFC
13	27	6	77471	19367	0.015606957320703807	-6.90978922318092e-159	7.744833550618941e-5	ipc-motor	opc-PFC
14	27	4	163797	19367	0.004921077474321852	-0	2.4420471681410527e-5	ipc-parietal	opc-PFC
15	27	75	91057	19367	0.16597935779130715	-6.418600202929452e-110	8.236599053340215e-4	ipc-PFC	opc-PFC
16	27	4	114781	19367	0.007022571044523888	-6.615282605530017e-245	3.4848973262125266e-5	ipc-somatosensory	opc-PFC
18	27	5	144423	19367	0.0069765353082741005	-1.4263140043030053e-308	3.4620524431704095e-5	ipc-V1	opc-PFC
20	27	7	392500	19367	0.0035938879550512577	-0	1.78343949044586e-5	neuron-parietal	opc-PFC
21	27	248	670728	19367	0.07450945700464685	-0	3.6974749824071753e-4	neuron-PFC	opc-PFC
22	27	4	163968	19367	0.004915945349467557	-0	2.4395003903200624e-5	neuron-somatosensory	opc-PFC
23	27	2	185908	19367	0.002167894138664007	-0	1.0758009337952106e-5	neuron-temporal	opc-PFC
24	27	5	331799	19367	0.0030366943807150428	-0	1.5069364283798323e-5	neuron-V1	opc-PFC
25	27	2159	19578	19367	22.222375022037117	-4866.22854562386	0.11027684135253857	opc-motor	opc-PFC
26	27	1543	35060	19367	8.868704170392819	-2080.537559182049	0.04401026811180833	opc-parietal	opc-PFC
27	27	10277	21248	19367	97.46629401603678	-43230.012719409046	0.4836690512048193	opc-PFC	opc-PFC
28	27	1819	21256	19367	17.244766248645817	-3620.9574412747734	0.08557583741061348	opc-somatosensory	opc-PFC
29	27	590	6676	19367	17.809094478965054	-1178.3140114829907	0.08837627321749551	opc-temporal	opc-PFC
30	27	977	9858	19367	19.971556079810355	-2069.7283050047317	0.09910732400081153	opc-V1	opc-PFC
31	27	105	71249	19367	0.2969728043251734	-5.279858664348877e-56	0.0014737048941037769	rg-motor	opc-PFC
32	27	121	168350	19367	0.1448366275236725	-2.72248708764041e-218	7.187407187407188e-4	rg-parietal	opc-PFC
33	27	463	79867	19367	1.1682069178430166	-7.595126931635079	0.005797137741495236	rg-PFC	opc-PFC
34	27	165	89514	19367	0.37144894922902255	-7.505905083109278e-54	0.0018432870835846907	rg-somatosensory	opc-PFC
35	27	28	77453	19367	0.07284939368946941	-1.0980062518561788e-127	3.6150956063677326e-4	rg-temporal	opc-PFC
36	27	108	78442	19367	0.2774477783669514	-1.0404346758527012e-65	0.001376813441778639	rg-V1	opc-PFC
5	28	2	900	22316	0.38863296887136284	-0.036051787913016484	0.0022222222222222222	cr-temporal	opc-somatosensory
7	28	136	93134	22316	0.2553776031838792	-3.3646226612843257e-96	0.0014602615586144694	dividing-motor	opc-somatosensory
8	28	247	88203	22316	0.4897401957989182	-2.30555287310169e-38	0.002800358264458125	dividing-parietal	opc-somatosensory
9	28	35	47201	22316	0.12967880468049334	-1.686295268944608e-74	7.415097137772505e-4	dividing-PFC	opc-somatosensory
10	28	424	89922	22316	0.8246165616940908	-1.4868830604837667e-5	0.004715197615711394	dividing-somatosensory	opc-somatosensory
11	28	12	67397	22316	0.0311381520231666	-4.432376818475703e-149	1.7804946807721412e-4	dividing-temporal	opc-somatosensory
12	28	29	91245	22316	0.055582883925379856	-1.0734716854372874e-183	3.1782563428133046e-4	dividing-V1	opc-somatosensory
13	28	6	77471	22316	0.0135445394528621	-2.1382240012672262e-184	7.744833550618941e-5	ipc-motor	opc-somatosensory
14	28	6	163797	22316	0.00640615527728029	-0	3.663070752211579e-5	ipc-parietal	opc-somatosensory
15	28	3	91057	22316	0.005761825098304796	-4.9176059853554455e-225	3.294639621336086e-5	ipc-PFC	opc-somatosensory
16	28	20	114781	22316	0.030472784867201588	-3.8680185785021604e-254	1.742448663106263e-4	ipc-somatosensory	opc-somatosensory
17	28	1	74554	22316	0.002345747189850488	-3.356325708480454e-188	1.3413096547468949e-5	ipc-temporal	opc-somatosensory
18	28	5	144423	22316	0.006054604737199521	-0	3.4620524431704095e-5	ipc-V1	opc-somatosensory
19	28	1	331906	22316	5.269107397640094e-4	-0	3.012901243123053e-6	neuron-motor	opc-somatosensory
20	28	2	392500	22316	8.911329222528066e-4	-0	5.095541401273885e-6	neuron-parietal	opc-somatosensory
21	28	1	670728	22316	2.6073883301742777e-4	-0	1.4909173316157966e-6	neuron-PFC	opc-somatosensory
22	28	20	163968	22316	0.02133158128319102	-0	1.2197501951600312e-4	neuron-somatosensory	opc-somatosensory
24	28	1	331799	22316	5.270806602554959e-4	-0	3.0138728567596647e-6	neuron-V1	opc-somatosensory
25	28	2707	19578	22316	24.18087910055423	-6372.980818090747	0.13826744304831953	opc-motor	opc-somatosensory
26	28	5017	35060	22316	25.025591048842905	-12262.251941505978	0.14309754706217911	opc-parietal	opc-somatosensory
27	28	1986	21248	22316	16.346069478555016	-3854.7890614000303	0.09346762048192771	opc-PFC	opc-somatosensory
28	28	9577	21256	22316	78.79526130487716	-37293.97408521561	0.45055513737297703	opc-somatosensory	opc-somatosensory
29	28	193	6676	22316	5.055837829011064	-163.6210719196944	0.02890952666267226	opc-temporal	opc-somatosensory
30	28	853	9858	22316	15.132558845736725	-1572.8068883173357	0.08652870764861026	opc-V1	opc-somatosensory
31	28	189	71249	22316	0.4639115496710047	-9.11052446353139e-35	0.0026526688093867984	rg-motor	opc-somatosensory
32	28	202	168350	22316	0.20984102685124373	-7.818440095357016e-203	0.0011998811998811998	rg-parietal	opc-somatosensory
33	28	87	79867	22316	0.19050397199486466	-2.2724950630902142e-102	0.0010893109795034244	rg-PFC	opc-somatosensory
34	28	471	89514	22316	0.920199720181037	-0.031075947384179826	0.0052617467658690265	rg-somatosensory	opc-somatosensory
35	28	15	77453	22316	0.03386921797582662	-2.7452168768816744e-169	1.9366583605541425e-4	rg-temporal	opc-somatosensory
36	28	68	78442	22316	0.15160461038045567	-3.397708254118463e-114	8.668825374161802e-4	rg-V1	opc-somatosensory
2	29	1	166	5170	4.547470345599031	-1.6218968688122601	0.006024096385542169	cr-parietal	opc-temporal
3	29	1	1410	5170	0.5353759413967654	-0.16748739315615668	7.092198581560284e-4	cr-PFC	opc-temporal
5	29	19	900	5170	15.936357188910382	-37.327269111711814	0.021111111111111112	cr-temporal	opc-temporal
7	29	18	93134	5170	0.14589560625174375	-9.350312808894616e-34	1.9326991216956214e-4	dividing-motor	opc-temporal
8	29	36	88203	5170	0.30810383757128224	-2.851684003681805e-19	4.081493826740587e-4	dividing-parietal	opc-temporal
9	29	31	47201	5170	0.4957793775227773	-3.348190138611099e-6	6.567657464884219e-4	dividing-PFC	opc-temporal
10	29	9	89922	5170	0.07555348742604648	-5.506133250161291e-41	1.0008674184293054e-4	dividing-somatosensory	opc-temporal
11	29	310	67397	5170	3.472154902807634	-173.8309934823745	0.004599611258661365	dividing-temporal	opc-temporal
12	29	17	91245	5170	0.14064289895644105	-1.1634434345071966e-33	1.86311578716642e-4	dividing-V1	opc-temporal
13	29	2	77471	5170	0.01948806849968218	-9.460845021484816e-44	2.581611183539647e-5	ipc-motor	opc-temporal
15	29	1	91057	5170	0.008290192707528682	-9.059508470759893e-54	1.0982132071120287e-5	ipc-PFC	opc-temporal
17	29	4	74554	5170	0.04050111743806847	-8.112946199036181e-39	5.3652386189875794e-5	ipc-temporal	opc-temporal
20	29	7	392500	5170	0.013462829405314838	-3.673140423189436e-225	1.78343949044586e-5	neuron-parietal	opc-temporal
21	29	1	670728	5170	0.0011254637906415702	-0	1.4909173316157966e-6	neuron-PFC	opc-temporal
22	29	1	163968	5170	0.004603825608468963	-3.650733104858998e-97	6.098750975800156e-6	neuron-somatosensory	opc-temporal
23	29	8	185908	5170	0.032484027685497734	-3.455935241037551e-97	4.3032037351808425e-5	neuron-temporal	opc-temporal
24	29	4	331799	5170	0.009100450301169552	-4.341290062468944e-193	1.2055491427038659e-5	neuron-V1	opc-temporal
25	29	525	19578	5170	20.242723496728754	-1115.455783037162	0.02681581366840331	opc-motor	opc-temporal
26	29	711	35060	5170	15.308606246710529	-1330.9056038579827	0.020279520821448946	opc-parietal	opc-temporal
27	29	498	21248	5170	17.69250181334623	-992.3039183227268	0.0234375	opc-PFC	opc-temporal
28	29	159	21256	5170	5.646684809077005	-149.73129749697057	0.007480240873165224	opc-somatosensory	opc-temporal
29	29	2085	6676	5170	235.75868204243267	-10170.509338901451	0.3123127621330138	opc-temporal	opc-temporal
30	29	133	9858	5170	10.184525288104625	-194.1221347117139	0.013491580442280382	opc-V1	opc-temporal
31	29	21	71249	5170	0.22249409289615601	-9.32138909837966e-21	2.947409788207554e-4	rg-motor	opc-temporal
32	29	63	168350	5170	0.28249150504469656	-1.664970572587389e-38	3.7422037422037423e-4	rg-parietal	opc-temporal
